DATE,FPCPITOTLZGAUS
1994-01-01,1.96963479688141
1995-01-01,4.62776659959759
1996-01-01,2.61538461538461
1997-01-01,0.224887556221887
1998-01-01,0.860134629768142
1999-01-01,1.48312940304041
2000-01-01,4.45743514797224
2001-01-01,4.40713536201469
2002-01-01,2.98157453936348
2003-01-01,2.73259596616786
2004-01-01,2.34325522482583
2005-01-01,2.69183168316832
2006-01-01,3.55528773727026
2007-01-01,2.32761128891476
2008-01-01,4.35029854990048
2009-01-01,1.77111716621254
2010-01-01,2.91834002677376
2011-01-01,3.3038501560874
2012-01-01,1.76278015613196
2013-01-01,2.4498886414254
2014-01-01,2.48792270531404
2015-01-01,1.50836672165921
2016-01-01,1.27699094497324
2017-01-01,1.94864740944527
2018-01-01,1.91140094445691
2019-01-01,1.61076787290379
2020-01-01,0.846905537459305
2021-01-01,2.86391042204994
2022-01-01,6.59409671341846
